"","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"PRINLS3 XC",1,1,1,7,3,2,4,12,3,6,12
"PRINRVA FA",2,2,4,4,9,24,9,11,14,45,18
"PRINRVA FB",1,1,1,2,3,21,1,1,1,15,28
"PRINRVA FC",1,1,2,1,7,14,12,19,25,30,31
"PRINRVA FF",1,1,1,1,1,4,3,2,2,2,2
"PRINRVA XB",5,8,3,9,11,29,8,10,36,48,51
"PRINRVA XC",1,1,1,1,5,4,6,3,23,38,15
"PROF-1A B",1,1,1,1,3,6,4,12,53,19,18
"PROF-3A B",1,1,1,3,2,6,28,27,6,7,9
"SBMIX B",1,1,1,3,11,21,26,27,66,38,40
"SCOT-RV L",1,1,1,1,11,29,51,64,71,83,6
"SCOTIPC L",2,8,5,10,14,9,15,59,68,78,84
"SCOTIPC TF",1,8,1,13,7,16,49,61,70,80,86
"SELECTC B1",1,1,1,1,2,4,1,1,1,1,1
"SELECTD B1",1,1,1,1,1,1,1,1,1,1,1
"STER-GR B",1,1,1,1,1,1,3,27,6,3,3
"STER-OP B1",1,1,1,1,1,1,1,1,1,1,8
"SURIPC BDF",4,3,8,9,19,33,44,53,61,73,77
"SURIPC BF",2,2,2,3,2,6,28,27,19,6,15
"SURIPC BOE2",1,1,1,7,2,4,25,32,2,49,52
"SURIPC BOE4",1,2,3,8,15,25,32,41,49,61,65
"SURPAT BDF",1,1,2,3,4,8,10,13,15,20,19
"SURPAT BOE1",1,1,1,1,11,16,28,27,3,6,12
"SURPAT BOE2",1,1,1,9,2,5,3,4,6,9,11
"SVIVE20 B",1,1,1,9,3,27,35,44,52,64,68
"SVIVE20 S",1,1,1,1,8,16,15,22,28,33,34
"SVIVE35 S",1,1,1,1,4,6,4,4,7,6,6
"SVIVE50 S",1,1,1,1,1,1,3,2,19,3,3
"VALMX20 B0",2,3,9,9,6,12,11,17,22,27,27
"VALMX20 B1",1,4,4,1,16,30,39,47,56,67,71
"VALMX20 B2",2,7,6,12,18,32,42,51,59,71,75
"VALMX24 B0",1,1,1,1,1,4,36,45,53,3,3
"VALMX24 B1",1,1,1,1,2,4,3,27,6,3,3
"VALMXA B0",1,1,1,1,1,1,28,1,1,16,15
"VALMXA B1",2,2,2,9,11,16,3,27,71,7,57
"VALMXA B2",1,1,1,1,1,4,1,2,2,2,2
"VALMXB B0",1,1,1,1,1,16,28,45,19,8,8
"VALMXB B1",2,2,3,7,4,21,24,64,39,48,51
"VALMXB B2",1,1,2,3,2,6,21,29,36,45,48
"VALMXC B0",1,1,1,3,2,4,26,5,8,9,11
"VALMXC B1",1,1,1,9,5,25,50,4,67,23,21
"VALMXC B2",2,2,2,4,9,29,51,61,23,83,28
"VALUEV6 B",1,1,1,1,1,1,1,1,1,1,1
"VECTCR F",1,1,1,1,1,1,1,1,1,1,2
"VECTCR X",1,1,1,1,1,4,3,2,2,2,1
"VECTIND F",5,8,9,13,20,34,45,54,62,74,78
"VECTIND X",1,6,5,11,1,31,41,49,1,69,73
"VECTPA F",1,1,1,1,1,5,36,63,6,82,48
